DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
JUAN DE LA CIERVA,-1,065-012,2003-01-01,U,T,Avda,438740.0,4462823.0,[],"[{'linea': '12', 'orden': 17}]"
LOS ESPARTALES,-1,065-003,2003-01-01,U,T,Avda,439095.0,4464199.0,[],"[{'linea': '12', 'orden': 19}]"
ALTO DEL ARENAL,135,079-13-346,1993-07-01,U,T,Calle,445348.0,4471427.0,[],"[{'linea': '1', 'orden': 25}]"
EL CARRASCAL,-1,074-024,2003-01-01,U,T,Avda,437239.0,4465592.0,[],"[{'linea': '12', 'orden': 21}]"
JULIAN BESTEIRO,-1,074-017,2003-01-01,U,T,Avda,436177.0,4465391.0,[],"[{'linea': '12', 'orden': 22}]"
DELICIAS,25,079-02-039,1993-07-01,U,T,Paseo,441200.0,4472583.0,[],"[{'linea': '3', 'orden': 10}]"
CASA DEL RELOJ,-1,074-028,2003-01-01,U,T,Avda,435595.0,4464492.0,[],"[{'linea': '12', 'orden': 23}]"
SAN NICASIO,-1,074-008,2003-01-01,U,T,Avda,434207.0,4465565.0,[],"[{'linea': '12', 'orden': 26}]"
MIGUEL HERNANDEZ,134,079-13-348,1993-07-01,U,T,Calle,445831.0,4471151.0,[],"[{'linea': '1', 'orden': 26}]"
EL CAPRICHO,211,079-21-582,2006-11-01,U,T,Calle,449742.0,4478467.0,[],"[{'linea': '5', 'orden': 31}]"
SAN FRANCISCO,116,079-11-307,2006-11-01,U,T,Avda,437365.0,4469694.0,[],"[{'linea': '11', 'orden': 4}]"
AVIACION ESPAÑOLA,107,079-10-240,2006-12-22,U,T,Paseo,433570.0,4470841.0,[],"[{'linea': '10', 'orden': 28}]"
PINAR DEL REY,164,079-16-449,2007-01-15,U,T,Avda,445119.0,4480112.0,[],"[{'linea': '8', 'orden': 3}]"
VILLA DE VALLECAS,181,079-18-500,1993-07-01,U,T,Paseo,447370.0,4470283.0,[],"[{'linea': '1', 'orden': 28}]"
LA ELIPA,151,079-15-426,2007-01-01,U,T,Avda,444928.0,4475520.0,[],"[{'linea': '2', 'orden': 5}]"
LA PESETA,116,079-11-305,2006-11-01,U,T,Calle,435845.0,4468666.0,[],"[{'linea': '11', 'orden': 6}]"
LUCERO,103,079-10-262,1993-07-01,U,T,Calle,436865.0,4473195.0,[],"[{'linea': '6', 'orden': 2}]"
VALDEBERNARDO,191,079-19-522,1993-07-01,U,T,Bulv,447364.0,4472553.0,[],"[{'linea': '9', 'orden': 21}]"
LACOMA,83,079-08-172,1993-07-01,U,T,Calle,438829.0,4482050.0,[],"[{'linea': '7', 'orden': 3}]"
AVENIDA DE LA ILUSTRACION,83,079-08-175,1993-07-01,U,T,Calle,439218.0,4481501.0,[],"[{'linea': '7', 'orden': 4}]"
VALDEZARZA,94,079-09-210,1993-07-01,U,T,Calle,439410.0,4479804.0,[],"[{'linea': '7', 'orden': 7}]"
COLOMBIA,54,079-05-094,1993-07-01,U,T,Calle,442713.0,4478964.0,[],"[{'linea': '8', 'orden': 2}, {'linea': '9', 'orden': 9}]"
LAS MUSAS,205,079-20-566,1993-07-01,U,N,Avda,448550.0,4476201.0,[],"[{'linea': '7', 'orden': 23}]"
REYES CATOLICOS,-1,134-012,2007-01-01,U,T,Avda,447326.0,4489241.0,[],"[{'linea': '10', 'orden': 2}]"
MANUEL DE FALLA,-1,006-003,2007-01-01,U,T,Calle,445338.0,4489267.0,[],"[{'linea': '10', 'orden': 4}]"
LA MORALEJA,-1,006-013,2007-01-01,U,T,Avda,446281.0,4487203.0,[],"[{'linea': '10', 'orden': 6}]"
LA GRANJA,-1,006-008,2007-01-01,U,T,Calle,444327.0,4486734.0,[],"[{'linea': '10', 'orden': 7}]"
HOSPITAL INFANTA SOFIA,-1,134-004,2007-01-01,U,T,Paseo,448344.0,4490276.0,[],"[{'linea': '10', 'orden': 1}]"
REPUBLICA ARGENTINA,51,079-05-096,1993-07-01,U,N,Calle,442098.0,4477448.0,[],"[{'linea': '6', 'orden': 13}]"
VENTAS,44,079-04-073,1993-07-01,U,N,Calle,443822.0,4476002.0,[],"[{'linea': '2', 'orden': 6}, {'linea': '5', 'orden': 23}]"
PLAZA DE CASTILLA,64,079-06-109,1993-07-01,U,P,Paseo,441684.0,4480016.0,[],"[{'linea': '1', 'orden': 4}, {'linea': '9', 'orden': 6}, {'linea': '10', 'orden': 15}]"
VILLAVERDE BAJO CRUCE,174,079-17-481,2007-01-01,U,T,Avda,441289.0,4467142.0,[],"[{'linea': '3', 'orden': 4}]"
PUERTA DE ARGANDA,191,079-19-531,1993-07-01,U,T,Calle,449536.0,4472679.0,"['C-2', 'C-7', 'C-8', 'C-8a']","[{'linea': '9', 'orden': 23}]"
CHAMARTIN,56,079-05-086,1998-01-01,U,T,Calle,442247.0,4480589.0,"['C-1', 'C-10', 'C-2', 'C-3', 'C-4', 'C-7', 'C-8', 'C-8a']","[{'linea': '1', 'orden': 3}, {'linea': '10', 'orden': 14}]"
BEGOÑA,85,079-08-195,1998-01-01,U,N,Paseo,441978.0,4481514.0,[],"[{'linea': '10', 'orden': 13]"
FERIA DE MADRID,215,079-21-578,1998-01-01,U,T,Avda,447868.0,4479637.0,[],"[{'linea': '8', 'orden': 5}]"
VICALVARO,191,079-19-526,1993-07-01,U,T,Calle,448445.0,4473009.0,[],"[{'linea': '9', 'orden': 22}]"
FUENLABRADA CENTRAL,-1,058-024,2003-01-01,U,T,Calle,432197.0,4459646.0,['C-5'],"[{'linea': '12', 'orden': 11}]"
EUGENIA DE MONTIJO,111,079-11-298,1998-01-01,U,T,Calle,436347.0,4470900.0,[],"[{'linea': '5', 'orden': 5}]"
ALSACIA,204,079-20-567,2011-03-16,U,T,Plaza,447213.0,4474579.0,[],"[{'linea': '2', 'orden': 3}]"
MIRASIERRA,87,079-08-159,2011-03-28,U,T,Avda,439402.0,4482720.0,[],"[{'linea': '9', 'orden': 2}]"
LA FORTUNA,-1,074-001,2010-10-05,U,T,Calle,434062.0,4467986.0,[],"[{'linea': '11', 'orden': 7}]"
LA ALMUDENA,152,079-15-424,2011-03-16,U,T,Calle,445891.0,4475180.0,[],"[{'linea': '2', 'orden': 4}]"
SAINZ DE BARANDA,36,079-03-056,1993-07-01,U,T,Calle,443307.0,4474246.0,[],"[{'linea': '6', 'orden': 18}, {'linea': '9', 'orden': 16}]"
PIRAMIDES,22,079-02-027,1993-07-01,U,T,Paseo,439744.0,4472894.0,"['C-1', 'C-10']","[{'linea': '5', 'orden': 11}]"
PITIS,87,079-08-158,1993-07-01,U,T,Ctra,438597.0,4483172.0,"['C-7', 'C-8', 'C-8a']","[{'linea': '7', 'orden': 1}]"
LEGANES CENTRAL,-1,074-012,2003-01-01,U,T,Calle,434568.0,4464765.0,['C-5'],"[{'linea': '12', 'orden': 24}]"
ALCORCON CENTRAL,-1,007-014,2003-01-01,U,T,Avda,429472.0,4467153.0,['C-5'],"[{'linea': '12', 'orden': 3}]"
MOSTOLES CENTRAL,-1,092-009,2003-01-01,U,T,Paseo,426752.0,4464784.0,['C-5'],"[{'linea': '12', 'orden': 4}]"
EL CASAR,-1,065-005,2003-01-01,U,T,Avda,439799.0,4463572.0,['C-3'],"[{'linea': '3', 'orden': 1}, {'linea': '12', 'orden': 18}]"
CASA DE CAMPO,91,079-09-224,2002-09-01,U,T,Ctra,435533.0,4473000.0,[],"[{'linea': '5', 'orden': 1}, {'linea': '10', 'orden': 26}]"
